id,created_at,updated_at,user_id,date,meal_name,notes,is_present,user_name
5,2024-11-16 14:08:50.109903+00,2024-11-16 14:08:47.569+00,818241c5-63b2-41de-9a46-8291bb23296d,2024-11-11 00:00:00+00,,,true,Jelmer_hb
6,2024-11-16 14:08:52.8498+00,2024-11-16 14:08:50.313+00,818241c5-63b2-41de-9a46-8291bb23296d,2024-11-12 00:00:00+00,,,true,Jelmer_hb
7,2024-11-16 14:10:30.040364+00,2024-11-16 14:10:27.466+00,818241c5-63b2-41de-9a46-8291bb23296d,2024-11-17 00:00:00+00,,,true,Jelmer_hb
10,2024-11-16 14:10:41.839932+00,2024-11-16 14:10:39.251+00,818241c5-63b2-41de-9a46-8291bb23296d,2024-11-16 00:00:00+00,,,true,Jelmer_hb
14,2024-11-16 14:14:53.116694+00,2024-11-16 14:14:50.554+00,818241c5-63b2-41de-9a46-8291bb23296d,2024-11-13 00:00:00+00,,,true,Jelmer_hb
31,2024-11-16 15:28:46.39135+00,2024-11-16 15:28:46.175+00,818241c5-63b2-41de-9a46-8291bb23296d,2024-11-14 00:00:00+00,,,true,Jelmer_hb
